Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01708","Bambara beans, dry","2024","2024","ha","4552","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01708","Bambara beans, dry","2024","2024","t","3243.3","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2024","2024","ha","4348","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01312","Bananas","2024","2024","t","20972.97","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01701","Beans, dry","2024","2024","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01701","Beans, dry","2024","2024","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01372","Cashew nuts, in shell","2024","2024","ha","487479","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01372","Cashew nuts, in shell","2024","2024","t","212623.56","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01520.01","Cassava, fresh","2024","2024","ha","298564","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01520.01","Cassava, fresh","2024","2024","t","4448391.32","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01447","Castor oil seeds","2024","2024","ha","882","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01447","Castor oil seeds","2024","2024","t","641.88","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","21512","Cattle fat, unrendered","2024","2024","t","1529.41","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","ha","35000","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2024","2024","t","119000","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01640","Cocoa beans","2024","2024","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01460","Coconuts, in shell","2024","2024","ha","16879","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01460","Coconuts, in shell","2024","2024","t","16995.12","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01610","Coffee, green","2024","2024","ha","284","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01610","Coffee, green","2024","2024","t","55.13","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01706","Cow peas, dry","2024","2024","ha","220485","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01706","Cow peas, dry","2024","2024","t","184466","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01314","Dates","2024","2024","ha","586","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01314","Dates","2024","2024","t","1445.84","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2024","2024","t","9558.8","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2024","2024","t","3079","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","21153","Edible offal of pigs, fresh, chilled or frozen","2024","2024","t","946.3","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2024","2024","t","2730.6","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","21511.01","Fat of pigs","2024","2024","t","1135.56","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01193","Fonio","2024","2024","ha","813","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01193","Fonio","2024","2024","t","585.69","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","21170.02","Game meat, fresh, chilled or frozen","2024","2024","t","9076.78","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","21515","Goat fat, unrendered","2024","2024","t","461.85","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","0142","Groundnuts, excluding shelled","2024","2024","ha","236816","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","0142","Groundnuts, excluding shelled","2024","2024","t","221118.55","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","0231","Hen eggs in shell, fresh","2024","2024","t","22822","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5513","Production","0231","Hen eggs in shell, fresh","2024","2024","1000 No","403917","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01499.01","Karite nuts (sheanuts)","2024","2024","ha","53519","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01499.01","Karite nuts (sheanuts)","2024","2024","t","86292.37","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01379.02","Kola nuts","2024","2024","ha","2062","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01379.02","Kola nuts","2024","2024","t","619","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","0112","Maize (corn)","2024","2024","ha","1759588","A","Official value",""
"QCL","Crops and livestock products","204","Benin","5510","Production","0112","Maize (corn)","2024","2024","t","2094824.35","A","Official value",""
