Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","854","Burkina Faso","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","20.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","120","Cameroon","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","34.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","384","Côte d'Ivoire","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","52.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","266","Gabon","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","90.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","270","Gambia","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","89.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","288","Ghana","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","32.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","324","Guinea","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","28.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","404","Kenya","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","49.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","426","Lesotho","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","68.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","430","Liberia","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","72.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","450","Madagascar","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","19.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","454","Malawi","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","1.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","478","Mauritania","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","55.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","508","Mozambique","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","47.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","16.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","646","Rwanda","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","35.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","694","Sierra Leone","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","28.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","800","Uganda","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","15.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","834","United Republic of Tanzania","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","1.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","716","Zimbabwe","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20212023","2021-2023","%","41.5","E","Estimated value",""
