country,country_code,female_ag_decision_score,crop_diversity_index,dietary_diversity_score
Burkina Faso,BFA,8.5,0.6478893809707269,
Benin,BEN,7.8,0.6209167665712502,
Cote d'Ivoire,CIV,11.2,0.6369744507005315,
Cameroon,CMR,20.98,0.7155917265198327,
Gabon,GAB,,0.7151476627053154,
Ghana,GHA,,0.7269374107729906,
Gambia,GMB,1.1,0.7292476067630722,
Guinea,GIN,,0.6670701289796033,
Kenya,KEN,45.32,0.5595752825071404,
Liberia,LBR,25.15,0.6271618012325565,
Lesotho,LSO,,0.5504056771030589,
Madagascar,MDG,58.27,0.4951107923043231,
Malawi,MWI,51.3,0.6324565789741496,
Mauritania,MRT,10.92,0.5960674477731636,
Mozambique,MOZ,77.08,0.650222306501408,
Nigeria,NGA,23.5,0.7369330177479257,
Rwanda,RWA,48.03,0.6561608986361628,
Sierra Leone,SLE,9.5,0.5937077496693557,
Tanzania,TZA,38.8,0.6276092773741113,
Uganda,UGA,30.4,0.6704902003964772,
Zimbabwe,ZWE,44.9,0.5778222384880891,
